Answer,Score with point 1,Score with point 2,Score with point 3,Actual Marks,Justification,Jac_1,Jac_2,Jac_3
A barcode is a rectangular strip comprising of light and deep colors with a code number printed used for product identification and selling.,0.7318253014492204,0.8286222349163422,0.8015519469548655,1,2,0.05555555555555555,0.21428571428571427,0.1
A barcode is a bar with product code printed. It is attached to every product at retail shops.,0.5723064251376794,0.7826384049932259,0.8004939150537763,0,0,0.0,0.2,0.13333333333333333
It is a machine readable numbers arranged in a sequence comprising of parallel lines of different widths on a package. This is used for electronic scanning of goods at checkout to register price.,0.6629195806691177,0.7590956891938658,0.7648576082261653,1,1,0.043478260869565216,0.0,0.0
Barcode is a unique series of parallel lines printed on a product. It is used to register check out price and stock management.,0.61365848402584,0.737587095723342,0.8224590465997724,1,1,0.058823529411764705,0.06666666666666667,0.10526315789473684
Barcode uses a phone's camera to turn itself into a barcode scanner to find the best deal.,0.5138037313573101,0.5796454159846567,0.7120053628394657,0,0,0.0,0.0,0.0
"A barcode is a small image of lines and spaces attached to retail store items. It is used to identify products, location and manufacturer.",0.6052557710478275,0.6973589627355494,0.7966979910561798,1,3,0.0,0.0,0.047619047619047616
A barcode consists of black vertical lines that can be seen at the right corner of the back of the product. It is used for product screening.,0.7151241081472826,0.6993222721212626,0.7629519215573336,0,0,0.0,0.0,0.05263157894736842
A barcode is a code present on the back of the product which identifies the product.,0.48050316432951284,0.7562665068752666,0.8460228917169847,0,0,0.0,0.125,0.16666666666666666
A barcode is a way to encode information visually that a machine can read. The combination of black and white bars (elements) represents a code for product identification.,0.6912489883186266,0.7629073768894336,0.818629026809324,1,1,0.05,0.05555555555555555,0.09090909090909091
Barcodes are applied to products for quick identification electronically. It is a series of light and dark vertical bars representing a machine readable code number.,0.7680420805327681,0.7940806288418365,0.8109779240562882,2,"1,2",0.23529411764705882,0.11764705882352941,0.043478260869565216
"A barcode is a series of dark bars seperated by gaps, both the bars and gaps being of different widths. They can be used to identify product details such as the product, manufacturer and the coutry of origin using predefined alphanumeric codes for each.",0.7728795926086421,0.7388405469454229,0.8167650382416018,3,"1,2,3",0.2,0.0,0.125
A barcode is a sticker on products which is scanned while billing to see which product is bought and what is the price.,0.4312237460590045,0.6416689722375826,0.7794948630618004,0,0,0.0,0.0,0.0625
A barcode is used to keep track of the inventory and come in various shapes and sizes and to identify the product being sold,0.6430589863618738,0.6660609561415258,0.7926696218745273,0,0,0.0,0.0,0.05263157894736842
Barcodes are black and white bars with a code number beneath it to identify the products and prices.,0.7040977416143938,0.7654051007187179,0.8042747805662909,2,"1,2",0.07142857142857142,0.18181818181818182,0.058823529411764705
A barcode is made of dark and light bars which can be of different widths used by manufacturers for unique code numbers.,0.8495839456733104,0.746825949670949,0.8103019081343319,1,1,0.3076923076923077,0.07142857142857142,0.1111111111111111
"A barcode holds information such as where the product comes from, who the manufacturer is and what is the product. They are made of bars, black and white of different widths to hold the information.",0.7550652228523473,0.6788167391193101,0.810942218676965,2,"1,3",0.125,0.0,0.16666666666666666
a barcode is a sticker with dark lines and spaces placed on products in a store to identify the products.,0.7004065632097604,0.7190565623567722,0.7481366948141639,1,1,0.07692307692307693,0.0,0.0
a barcode is a sticker scanned at the checkout to bill the customer as it contains price information.,0.41212124434634445,0.7140186763742035,0.7447926828509022,0,0,0.0,0.0,0.0
A barcode has information about the products such as what they are and where they came from and who made them.,0.466210674427361,0.5795148129262881,0.7942649424663532,1,3,0.0,0.0,0.08333333333333333
"A barcode is a method of representing data in a visual, machine-readable form",0.5264239908456706,0.6680499955748957,0.6874933088207136,1,1,0.0,0.0,0.0
